"No. HS--13. Live Births, Deaths, Infant Deaths, and Maternal Deaths: 1900 to 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2,718 represents 1,718,000. Prior to 1960, excludes Alaska and Hawaii. Beginning 1970, excludes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"births to, and deaths of nonresidents of the United States.]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                Number (1,000)",,,,"                         Rate per 1,000 population",,,,,"                  Death rates per 100,000 population",,,,,,,,,,,,,,,,,,
1910,"2,777",697,135,,30.1,14.7,(NA),(NA),,153.8,76.2,371.9,155.9,1.8,,,,,,,,,,,,,,
1911,"2,809",750,134,,29.9,13.9,(NA),(NA),,155.1,74.2,366.5,145.4,2.1,,,,,,,,,,,,,,
1912,"2,840",746,131,,29.8,13.6,(NA),(NA),,145.4,77.0,375.7,138.4,2.8,,,,,,,,,,,,,,
1913,"2,869",803,144,,29.5,13.8,(NA),(NA),,143.5,78.5,370.6,140.8,3.8,,,,,,,,,,,,,,
1914,"2,966",811,140,,29.9,13.3,(NA),(NA),,141.7,78.7,374.5,132.4,4.2,,,,,,,,,,,,,,
1915,"2,965",816,134,,29.5,13.2,99.9,60.8,,140.1,80.7,383.5,145.9,5.8,,,,,,,,,,,,,,
1916,"2,964",925,152,,29.1,13.8,101.0,62.2,,138.4,81.0,389.4,163.3,7.1,,,,,,,,,,,,,,
1917,"2,944",981,157,,28.5,14.0,93.8,66.2,,143.5,80.8,396.4,164.5,8.6,,,,,,,,,,,,,,
1918,"2,948","1,430",189,,28.2,18.1,100.9,91.6,,149.8,80.8,387.0,588.5,9.3,,,,,,,,,,,,,,
1919,"2,740","1,072",158,,26.1,12.9,86.6,73.7,,125.6,81.0,348.6,223.0,9.3,,,,,,,,,,,,,,
1920,"2,950","1,118",171,,27.7,13.0,85.8,79.9,,113.1,83.4,364.9,207.3,10.3,,,,,,,,,,,,,,
1921,"3,055","1,010",156,,28.1,11.5,75.6,68.2,,97.6,85.5,351.2,98.7,11.3,,,,,,,,,,,,,,
1922,"2,882","1,084",156,,26.2,11.7,76.2,66.4,,95.3,86.2,366.6,132.3,12.4,,,,,,,,,,,,,,
1923,"2,910","1,174",163,,26.0,12.1,77.1,66.5,,91.7,88.4,380.8,151.7,14.6,,,,,,,,,,,,,,
1924,"2,979","1,151",158,,26.1,11.6,70.8,65.6,,87.9,90.4,383.4,115.2,15.3,,,,,,,,,,,,,,
1925,"2,909","1,192",158,,25.1,11.7,71.7,64.7,,84.8,92.0,391.5,121.7,16.8,,,,,,,,,,,,,,
1926,"2,839","1,257",159,,24.2,12.1,73.3,65.6,,85.5,94.6,410.6,141.7,19.9,,,,,,,,,,,,,,
1927,"2,802","1,212",144,,23.5,11.3,64.6,64.7,,79.6,95.2,398.3,102.2,21.6,,,,,,,,,,,,,,
1928,"2,674","1,362",153,,22.2,12.0,68.7,69.2,,78.3,95.7,419.1,142.5,23.2,,,,,,,,,,,,,,
1929,"2,582","1,370",147,,21.2,11.9,67.6,69.5,,75.3,95.8,418.9,146.5,25.5,,,,,,,,,,,,,,
1930,"2,618","1,327",143,,21.3,11.3,64.6,67.3,,71.1,97.4,414.4,102.5,26.7,,,,,,,,,,,,,,
1931,"2,506","1,307",131,,20.2,11.1,61.6,66.1,,67.8,99.0,407.1,107.5,27.1,,,,,,,,,,,,,,
1932,"2,440","1,293",119,,19.5,10.9,57.6,63.3,,62.5,102.3,418.2,107.3,23.6,,,,,,,,,,,,,,
1933,"2,307","1,342",121,,18.4,10.7,58.1,61.9,,59.6,102.3,413.6,95.7,25.0,,,,,,,,,,,,,,
1934,"2,396","1,397",130,,19.0,11.1,60.1,59.3,,56.7,106.4,430.0,96.9,28.6,,,,,,,,,,,,,,
1935,"2,377","1,393",120,,18.7,10.9,55.7,58.2,,55.1,108.2,431.2,104.2,28.6,,,,,,,,,,,,,,
1936,"2,355","1,479",123,,18.4,11.6,57.1,56.8,,55.9,111.4,461.1,119.6,29.7,,,,,,,,,,,,,,
1937,"2,413","1,450",120,,18.7,11.3,54.4,48.9,,53.8,112.4,454.6,114.9,30.8,,,,,,,,,,,,,,
1938,"2,496","1,381",117,,19.2,10.6,51.0,43.5,,49.1,114.9,456.8,80.4,25.1,,,,,,,,,,,,,,
1939,"2,466","1,388",109,,18.8,10.6,48.0,40.4,,47.1,117.5,466.3,75.7,24.7,,,,,,,,,,,,,,
1940,"2,559","1,417",111,,19.4,10.8,47.0,37.6,,45.9,120.3,485.7,70.3,26.2,,,,,,,,,,,,,,
1941,"2,703","1,398",114,,20.3,10.5,45.3,31.7,,44.5,120.1,475.3,63.8,30.0,,,,,,,,,,,,,,
1942,"2,989","1,385",113,,22.2,10.3,40.4,25.9,,43.1,122.0,479.5,55.7,21.1,,,,,,,,,,,,,,
1943,"3,104","1,460",118,,22.7,10.9,40.4,24.5,,42.5,124.3,510.8,67.1,17.7,,,,,,,,,,,,,,
1944,"2,939","1,411",111,,21.2,10.6,39.8,22.8,,41.2,128.8,500.5,61.6,18.3,,,,,,,,,,,,,,
1945,"2,858","1,402",105,,20.4,10.6,38.3,20.7,,39.9,134.0,508.2,51.6,21.2,,,,,,,,,,,,,,
1946,"3,411","1,396",111,,24.1,10.0,33.8,15.7,,36.4,130.0,476.8,44.5,23.9,,,,,,,,,,,,,,
1947,"3,817","1,445",119,,26.6,10.1,32.2,13.5,,33.5,132.3,491.0,43.1,22.8,,,,,,,,,,,,,,
1948,"3,637","1,444",113,,24.9,9.9,32.0,11.7,,30.0,134.9,488.0,38.7,22.1,,,,,,,,,,,,,,
1949,"3,649","1,444",112,,24.5,9.7,31.3,9.0,,26.3,138.8,502.1,30.0,21.3,,,,,,,,,,,,,,
1950,"3,632","1,452",104,,24.1,9.6,29.2,8.3,,22.5,139.8,510.8,31.3,23.1,,,,,,,,,,,,,,
1951,"3,823","1,482",107,,24.9,9.7,28.4,7.5,,20.1,140.5,513.2,31.4,24.1,,,,,,,,,,,,,,
1952,"3,913","1,497",109,,25.1,9.6,28.4,6.8,,15.8,143.3,511.9,29.7,24.3,,,,,,,,,,,,,,
1953,"3,965","1,518",108,,25.1,9.6,27.8,6.1,,12.3,144.7,514.8,33.0,24.0,,,,,,,,,,,,,,
1954,"4,078","1,481",107,,25.3,9.2,26.6,5.2,,10.2,145.6,495.1,25.4,22.1,,,,,,,,,,,,,,
1955,"4,097","1,529",107,,25.0,9.3,26.4,4.7,,9.1,146.5,506.0,27.1,23.4,,,,,,,,,,,,,,
1956,"4,218","1,564",108,,25.2,9.4,26.0,4.1,,8.4,147.8,510.5,28.2,23.7,,,,,,,,,,,,,,
1957,"4,300","1,633",112,,25.3,9.6,26.3,4.1,,7.8,148.6,523.4,35.8,22.7,,,,,,,,,,,,,,
1958,"4,255","1,648",114,,24.5,9.5,27.1,3.8,,7.1,146.8,523.5,33.1,21.3,,,,,,,,,,,,,,
1959,"4,245","1,657",112,,24.2,9.4,26.4,3.7,,6.5,147.3,515.9,31.2,21.5,,,,,,,,,,,,,,
1960,"4,258","1,712",111,,23.7,9.5,26.0,3.7,,6.1,149.2,521.8,37.3,21.3,,,,,,,,,,,,,,
1961,"4,268","1,702",108,,23.3,9.3,25.3,3.7,,5.4,149.4,511.4,30.1,20.8,,,,,,,,,,,,,,
1962,"4,167","1,757",105,,22.4,9.5,25.3,3.5,,5.1,149.9,521.2,32.3,22.0,,,,,,,,,,,,,,
1963,"4,098","1,814",103,,21.7,9.6,25.2,3.6,,4.9,151.3,527.3,37.5,23.1,,,,,,,,,,,,,,
1964,"4,027","1,798",100,,21.1,9.4,24.8,3.3,,4.3,151.3,514.3,31.1,24.5,,,,,,,,,,,,,,
1965,"3,760","1,828",93,,19.4,9.4,24.7,3.2,,4.1,153.5,516.4,31.9,25.4,,,,,,,,,,,,,,
1966,"3,606","1,863",86,,18.4,9.5,23.7,2.9,,3.9,155.1,521.4,32.5,27.1,,,,,,,,,,,,,,
1967,"3,521","1,851",79,,17.8,9.4,22.4,2.8,,3.5,157.2,511.5,28.8,26.7,,,,,,,,,,,,,,
1968,"3,502","1,930",76,,17.6,9.7,21.8,2.5,,3.1,159.4,512.1,36.8,27.5,,,,,,,,,,,,,,
1969,"3,600","1,922",75,,17.9,9.5,20.9,2.2,,2.8,160.0,501.7,33.9,27.6,,,,,,,,,,,,,,
1970,"3,731","1,921",75,,18.4,9.5,20.0,2.2,,2.6,162.8,496.0,30.9,26.9,,,,,,,,,,,,,,
1971,"3,556","1,928",68,,17.2,9.3,19.1,1.9,,2.2,163.6,493.3,27.7,26.4,,,,,,,,,,,,,,
1972,"3,258","1,964",60,,15.6,9.4,18.5,1.9,,2.1,166.0,497.1,30.1,27.0,,,,,,,,,,,,,,
1973,"3,137","1,973",56,,14.8,9.3,17.7,1.5,,1.8,167.3,494.4,29.8,26.5,,,,,,,,,,,,,,
1974,"3,160","1,934",53,,14.8,9.1,16.7,1.5,,1.7,170.5,478.2,25.9,22.0,,,,,,,,,,,,,,
1975,"3,144","1,893",51,,14.6,8.8,16.1,1.3,,1.6,171.7,455.8,26.1,21.5,,,,,,,,,,,,,,
1976,"3,168","1,909",48,,14.6,8.8,15.2,1.2,,1.5,175.8,454.0,28.8,21.9,,,,,,,,,,,,,,
1977,"3,327","1,900",47,,15.1,8.6,14.1,1.1,,1.4,178.7,444.5,23.7,22.9,,,,,,,,,,,,,,
1978,"3,333","1,928",46,,15.0,8.7,13.8,1.0,,1.3,181.9,442.7,26.7,24.0,,,,,,,,,,,,,,
1979,"3,494","1,914",46,,15.6,8.5,13.1,1.0,,0.9,183.3,435.4,20.5,24.3,,,,,,,,,,,,,,
1980,"3,612","1,990",46,,15.9,8.8,12.6,1.0,,0.9,183.9,436.4,24.1,23.5,,,,,,,,,,,,,,
1981,"3,629","1,978",43,,15.8,8.6,11.9,0.9,,0.8,184.0,424.2,23.4,22.4,,,,,,,,,,,,,,
1982,"3,681","1,975",42,,15.9,8.5,11.5,0.8,,0.8,187.2,417.6,21.1,19.8,,,,,,,,,,,,,,
1983,"3,639","2,019",41,,15.6,8.6,11.2,0.8,,0.8,189.3,419.2,23.9,19.0,,,,,,,,,,,,,,
1984,"3,669","2,039",40,,15.6,8.6,10.8,0.8,,0.7,191.8,411.6,24.9,19.6,,,,,,,,,,,,,,
1985,"3,761","2,086",40,,15.8,8.8,10.6,0.8,,0.7,194.0,411.0,28.4,19.3,,,,,,,,,,,,,,
1986,"3,757","2,105",39,,15.6,8.8,10.4,0.7,,0.7,194.7,401.6,29.0,19.9,,,,,,,,,,,,,,
1987,"3,809","2,123",38,,15.7,8.8,10.1,0.7,,0.7,195.9,395.9,28.4,19.8,,,,,,,,,,,,,,
1988 ,"3,910","2,168",39,,16.0,8.9,10.0,0.8,,0.8,198.6,395.5,31.5,20.4,,,,,,,,,,,,,,
1989,"4,041","2,150",40,,16.4,8.7,9.8,0.8,,0.8,199.9,375.4,30.8,19.2,,,,,,,,,,,,,,
1990,"4,158","2,148",38,,16.7,8.6,9.2,0.8,,0.7,203.2,368.3,32.0,18.8,,,,,,,,,,,,,,
1991,"4,111","2,170",37,,16.2,8.6,8.9,0.8,,0.7,204.1,363.4,30.9,17.3,,,,,,,,,,,,,,
1992,"4,065","2,176",35,,15.8,8.5,8.5,0.8,,0.7,204.1,358.3,29.7,16.1,,,,,,,,,,,,,,
1993,"4,000","2,269",33,,15.4,8.8,8.4,0.8,,0.6,205.6,367.8,32.1,16.3,,,,,,,,,,,,,,
1994,"3,953","2,279",31,,15.0,8.8,8.0,0.8,,0.6,205.2,362.6,31.5,16.2,,,,,,,,,,,,,,
1995,"3,900","2,312",30,,14.6,8.8,7.6,0.7,,0.5,204.9,362.1,31.6,16.5,,,,,,,,,,,,,,
1996,"3,891","2,315",28,,14.4,8.7,7.3,0.8,,0.5,203.4,358.2,31.6,16.5,,,,,,,,,,,,,,
1997,"3,881","2,314",28,,14.2,8.6,7.2,0.8,,0.4,201.6,352.8,32.3,16.2,,,,,,,,,,,,,,
1998,"3,942","2,337",28,,14.3,8.6,7.2,0.7,,0.4,199.4,348.0,34.0,16.1,,,,,,,,,,,,,,
1999,"3,959","2,391",28,,14.2,8.8,7.1,0.1,,0.3,201.6,348.5,23.4,15.5,,,,,,,,,,,,,,
2000,"4,059","2,403",28,,14.4,8.7,6.9,0.1,,0.3,200.5,340.4,24.3,15.2,,,,,,,,,,,,,,
2001,"4,026","2,416",28,,14.1,8.5,6.8,0.1,,0.3,194.4,323.9,21.8,15.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest value,"4,300","2,416",189,,30.1,18.1,101.0,91.6,,194.4,205.6,527.3,588.5,30.8,,,,,,,,,,,,,,
Lowest value,"2,307",319,28,,14.1,8.5,6.8,0.1,,0.3,64.0,323.9,20.5,0.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYMBOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTNOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1 Prior to 1960 data adjusted for under registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\2 Infants under 1 year, excluding fetal deaths; rates per 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
registered live births.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\3 Per 10,000 live births from deliveries and complications of",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pregnancy, childbirth, and the puerperium. Beginning 1999, deaths are",,,,,,,,,,,,,,,,,,,,,,,,,,,,
classified according to the tenth revision of the International,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification of Diseases; earlier years classified according to the,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revision in use at the time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\4 All years, excludes pneumonia of newborn; 1900-1920, excludes capillary bronchitis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\5 1910-1925, excludes automobile collisions with trains",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"and streetcars, and motorcycle accidents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 1900-1970, U.S. Public Health Service,",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vital Statistics of the United States, annual, vol. I and vol II;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1971-1997, U.S. National Center for Health Statistics, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vital Statistics of the United States, annual; and National Vital Statistics Report (NSVR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
(formerly Monthly Vital Statistics Report); and unpublished data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.cdc.gov/nchs/nvss.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
